OS;Categoria;Linha;Equipamento;Descricao;InicioProg;TerminoProg;TempoPrevisto;InicioReal;TerminoReal;TempoParada;Oficina;Tipo;MP;SS;Status
OS90992;Pomadas;Fabricação Pomadas;Mixer 1 Pomadas;Corretiva banco;12/01/2021 04:48;12/01/2021 06:23;1,58;01/02/2021 10:24;01/02/2021 12:00;1,6;Automação;Corretiva;;SS48766;FECH
OS90994;Xarope;X-01;Seladora X-01;Corretiva banco;27/10/2021 09:36;27/10/2021 13:30;3,9;27/10/2021 09:36;27/10/2021 13:30;3,9;Mecânica;Corretiva;;SS48768;FECH
OS90995;Pomadas;P-02;Seladora P-02;Corretiva banco;12/02/2021 19:12;12/02/2021 22:19;3,12;21/02/2021 17:45;21/02/2021 21:36;3,85;Elétrica;Corretiva;;SS48769;FECH
OS90996;Xarope;X-01;Esteira X-01;Corretiva banco;02/09/2021 16:48;02/09/2021 18:57;2,15;02/09/2021 16:48;02/09/2021 18:57;2,15;Mecânica;Corretiva;;SS48770;FECH
OS90997;Xarope;X-01;Encartuchadeira X-01;Corretiva banco;19/03/2021 21:36;20/03/2021 01:10;3,57;21/03/2021 03:23;21/03/2021 07:12;3,82;Automação;Corretiva;;SS48771;FECH
OS90998;Xarope;Fabricação Xarope;Mixer 2 Xarope;Corretiva banco;13/12/2021 07:12;13/12/2021 08:58;1,77;13/12/2021 07:12;13/12/2021 08:58;1,77;Elétrica;Corretiva;;SS48772;FECH
OS90999;Utilidades;Compressores;Compressor  - GA 160;Corretiva banco;28/02/2021 21:36;01/03/2021 01:46;4,17;02/03/2021 02:47;02/03/2021 07:12;4,42;Mecânica;Corretiva;;SS48773;FECH
OS91000;Pomadas;P-02;Seladora P-02;Corretiva banco;28/06/2021 16:48;28/06/2021 18:40;1,87;28/06/2021 16:48;28/06/2021 18:40;1,87;Elétrica;Corretiva;;SS48774;FECH
OS91001;Utilidades;Subsestação;Trafo 750 KVA;Corretiva banco;19/04/2021 04:48;19/04/2021 09:11;4,38;16/10/2021 04:48;16/10/2021 09:11;4,38;Mecânica;Corretiva;;SS48775;FECH
OS91002;Xarope;X-01;Seladora X-01;Corretiva banco;16/01/2021 12:00;16/01/2021 16:17;4,28;22/01/2021 18:59;23/01/2021 00:00;5,02;Mecânica;Corretiva;;SS48776;FECH
OS91003;Utilidades;Subsestação;Trafo 1000 KVA;Corretiva banco;23/09/2021 04:48;23/09/2021 08:22;3,57;23/09/2021 04:48;23/09/2021 08:22;3,57;Mecânica;Corretiva;;SS48777;FECH
OS91004;Xarope;X-01;Esteira X-01;Corretiva banco;29/04/2021 14:24;29/04/2021 17:21;2,95;29/04/2021 14:24;29/04/2021 17:21;2,95;Elétrica;Corretiva;;SS48778;FECH
OS91005;Xarope;X-02;Seladora X-02;Corretiva banco;01/03/2021 09:36;01/03/2021 12:11;2,58;03/03/2021 09:53;03/03/2021 12:00;2,12;Automação;Corretiva;;SS48779;FECH
OS91006;Pomadas;P-01;Seladora de pacotes P-01;Corretiva banco;03/07/2021 07:12;03/07/2021 10:48;3,6;03/07/2021 07:12;03/07/2021 10:48;3,6;Mecânica;Corretiva;;SS48780;FECH
OS91007;Xarope;X-01;Seladora X-01;Corretiva banco;29/09/2021 04:48;29/09/2021 09:48;5;29/09/2021 04:48;29/09/2021 09:48;5;Mecânica;Corretiva;;SS48781;FECH
OS91008;Pomadas;Fabricação Pomadas;Mixer 2 Pomadas;Corretiva banco;29/03/2021 12:00;29/03/2021 13:24;1,4;13/04/2021 12:00;13/04/2021 13:24;1,4;Mecânica;Corretiva;;SS48782;FECH
OS91009;Pomadas;P-02;Encartuchadeira P-02;Corretiva banco;20/12/2021 07:12;20/12/2021 09:01;1,82;20/12/2021 07:12;20/12/2021 09:01;1,82;Elétrica;Corretiva;;SS48783;FECH
OS91010;Xarope;X-01;Esteira X-01;Corretiva banco;14/02/2021 09:36;14/02/2021 12:44;3,13;19/02/2021 09:36;19/02/2021 12:44;3,13;Mecânica;Corretiva;;SS48784;FECH
OS91012;Xarope;X-01;Paletrizadora X-01;Corretiva banco;06/07/2021 12:00;06/07/2021 14:22;2,37;20/07/2021 04:49;20/07/2021 07:12;2,38;Mecânica;Corretiva;;SS48786;FECH
OS91013;Xarope;X-02;Paletrizadora X-02;Corretiva banco;10/07/2021 14:24;10/07/2021 19:04;4,67;10/07/2021 14:24;10/07/2021 19:04;4,67;Automação;Corretiva;;SS48787;FECH
OS91014;Pomadas;P-01;Esteira P-01;Corretiva banco;08/12/2021 02:24;08/12/2021 07:10;4,77;08/12/2021 02:24;08/12/2021 07:10;4,77;Mecânica;Corretiva;;SS48788;FECH
OS91015;Xarope;X-02;Esteira X-02;Corretiva banco;20/06/2021 07:12;20/06/2021 11:12;4;20/06/2021 07:12;20/06/2021 11:12;4;Elétrica;Corretiva;;SS48789;FECH
OS91016;Pomadas;P-01;Envasadora P-01;Corretiva banco;05/11/2021 14:24;05/11/2021 16:04;1,67;05/11/2021 14:24;05/11/2021 16:04;1,67;Mecânica;Corretiva;;SS48790;FECH
OS91018;Utilidades;Compressores;Compressor  - GA 160;Corretiva banco;12/09/2021 09:36;12/09/2021 11:02;1,43;17/09/2021 13:26;17/09/2021 14:24;0,97;Elétrica;Corretiva;;SS48792;FECH
OS91019;Pomadas;Fabricação Pomadas;Mixer 2 Pomadas;Corretiva banco;03/04/2021 12:00;03/04/2021 16:30;4,5;01/05/2021 17:05;01/05/2021 21:36;4,52;Mecânica;Corretiva;;SS48793;FECH
OS91020;Pomadas;P-01;Encartuchadeira P-01;Corretiva banco;29/11/2021 21:36;30/11/2021 01:17;3,68;29/11/2021 21:36;30/11/2021 01:17;3,68;Elétrica;Corretiva;;SS48794;FECH
OS91021;Xarope;X-02;Encartuchadeira X-02;Corretiva banco;28/01/2021 12:00;28/01/2021 16:13;4,22;02/02/2021 12:00;02/02/2021 16:13;4,22;Elétrica;Corretiva;;SS48795;FECH
OS91022;Pomadas;P-02;Envasadora P-02;Corretiva banco;20/04/2021 16:48;20/04/2021 20:00;3,2;03/05/2021 17:39;03/05/2021 21:36;3,95;Automação;Corretiva;;SS48796;FECH
OS91023;Pomadas;P-02;Paletrizadora P-02;Corretiva banco;19/05/2021 16:48;19/05/2021 21:48;5;08/05/2021 23:47;09/05/2021 04:48;5,02;Mecânica;Corretiva;;SS48797;FECH
OS91024;Utilidades;Subsestação;Trafo 1000 KVA;Corretiva banco;14/03/2021 07:12;14/03/2021 09:34;2,37;08/04/2021 16:35;08/04/2021 19:12;2,62;Automação;Corretiva;;SS48798;FECH
OS91025;Xarope;X-01;Seladora de pacotes X-01;Corretiva banco;04/09/2021 04:48;04/09/2021 09:44;4,93;15/09/2021 01:46;15/09/2021 07:12;5,43;Mecânica;Corretiva;;SS48799;FECH
OS91027;Xarope;Fabricação Xarope;Mixer 1 Xarope;Corretiva banco;16/02/2021 14:24;16/02/2021 17:18;2,9;16/03/2021 18:27;16/03/2021 21:36;3,15;Elétrica;Corretiva;;SS48801;FECH
OS91029;Utilidades;Subsestação;Trafo 1000 KVA;Corretiva banco;14/03/2021 19:12;14/03/2021 21:48;2,6;17/04/2021 04:06;17/04/2021 07:12;3,1;Mecânica;Corretiva;;SS48803;FECH
OS91031;Xarope;Fabricação Xarope;Mixer 2 Xarope;Corretiva banco;20/09/2021 09:36;20/09/2021 11:16;1,67;20/09/2021 09:36;20/09/2021 11:16;1,67;Mecânica;Corretiva;;SS48805;FECH
OS91033;Xarope;X-01;Seladora X-01;Corretiva banco;20/06/2021 19:12;20/06/2021 21:41;2,48;30/06/2021 21:15;01/07/2021 00:00;2,75;Elétrica;Corretiva;;;FECH
OS91034;Pomadas;P-01;Seladora P-01;Corretiva banco;17/09/2021 04:48;17/09/2021 07:30;2,7;21/09/2021 18:38;21/09/2021 21:36;2,97;Mecânica;Corretiva;;;FECH
OS91035;Pomadas;P-01;Esteira P-01;Corretiva banco;03/01/2021 14:24;03/01/2021 16:48;2,4;30/01/2021 20:52;31/01/2021 00:00;3,13;Mecânica;Corretiva;;;FECH
OS91036;Xarope;X-01;Encartuchadeira X-01;Corretiva banco;30/10/2021 21:36;31/10/2021 02:09;4,55;30/10/2021 21:36;31/10/2021 02:09;4,55;Elétrica;Corretiva;;;FECH
OS91037;Xarope;X-01;Seladora de pacotes X-01;Corretiva banco;10/10/2021 21:36;11/10/2021 00:44;3,13;10/10/2021 21:36;11/10/2021 00:44;3,13;Elétrica;Corretiva;;;CONC
OS91038;Xarope;X-01;Envasadora X-01;Corretiva banco;24/09/2021 16:48;24/09/2021 18:27;1,65;28/09/2021 19:42;28/09/2021 21:36;1,9;Mecânica;Corretiva;;;FECH
OS91040;Xarope;X-02;Seladora X-02;Corretiva banco;18/06/2021 14:24;18/06/2021 17:57;3,55;18/06/2021 14:24;18/06/2021 17:57;3,55;Elétrica;Corretiva;;;FECH
OS91042;Utilidades;Compressores;Compressor  - GA 160;Corretiva banco;22/03/2021 14:24;22/03/2021 18:18;3,9;05/04/2021 00:10;05/04/2021 04:48;4,63;Mecânica;Corretiva;;;FECH
OS91043;Xarope;X-02;Seladora X-02;Corretiva banco;03/04/2021 09:36;03/04/2021 14:03;4,45;30/09/2021 09:36;30/09/2021 14:03;4,45;Elétrica;Corretiva;;;FECH
OS91044;Pomadas;P-01;Seladora de pacotes P-01;Corretiva banco;13/07/2021 04:48;13/07/2021 09:40;4,87;13/07/2021 04:48;13/07/2021 09:40;4,87;Mecânica;Corretiva;;;FECH
OS91045;Pomadas;P-01;Encartuchadeira P-01;Corretiva banco;12/12/2021 21:36;12/12/2021 23:05;1,48;28/12/2021 05:28;28/12/2021 07:12;1,73;Mecânica;Corretiva;;;FECH
OS91046;Utilidades;Compressores;Compressor  - GA 160;Corretiva banco;04/02/2021 07:12;04/02/2021 08:18;1,1;04/03/2021 00:48;04/03/2021 02:24;1,6;Automação;Corretiva;;;FECH
OS91047;Pomadas;P-02;Seladora de pacotes P-02;Corretiva banco;28/05/2021 12:00;28/05/2021 16:16;4,27;15/05/2021 16:50;15/05/2021 21:36;4,77;Elétrica;Corretiva;;;FECH
OS91048;Pomadas;P-01;Envasadora P-01;Corretiva banco;13/11/2021 12:00;13/11/2021 15:59;3,98;13/11/2021 12:00;13/11/2021 15:59;3,98;Automação;Corretiva;;;FECH
OS91049;Xarope;X-02;Seladora de pacotes X-02;Corretiva banco;26/09/2021 12:00;26/09/2021 13:09;1,15;26/09/2021 12:00;26/09/2021 13:09;1,15;Mecânica;Corretiva;;;FECH
OS91050;Xarope;X-02;Envasadora X-02;Corretiva banco;03/06/2021 16:48;03/06/2021 20:36;3,8;18/06/2021 07:27;18/06/2021 12:00;4,55;Mecânica;Corretiva;;;FECH
OS91051;Xarope;X-02;Seladora X-02;Corretiva banco;25/10/2021 02:24;25/10/2021 06:11;3,78;25/10/2021 02:24;25/10/2021 06:11;3,78;Automação;Corretiva;;;CONC
OS91052;Pomadas;Fabricação Pomadas;Mixer 1 Pomadas;Corretiva banco;17/01/2021 02:24;17/01/2021 03:59;1,58;18/02/2021 21:41;19/02/2021 00:00;2,32;Automação;Corretiva;;SS48826;FECH
OS91053;Xarope;X-01;Seladora X-01;Corretiva banco;08/02/2021 19:12;08/02/2021 21:14;2,03;26/02/2021 14:31;26/02/2021 16:48;2,28;Mecânica;Corretiva;;SS48827;FECH
OS91054;Pomadas;P-01;Paletrizadora P-01;Corretiva banco;07/11/2021 12:00;07/11/2021 13:06;1,1;07/11/2021 12:00;07/11/2021 13:06;1,1;Mecânica;Corretiva;;SS48828;FECH
OS91055;Xarope;X-02;Encartuchadeira X-02;Corretiva banco;27/12/2021 04:48;27/12/2021 09:31;4,72;27/12/2021 04:48;27/12/2021 09:31;4,72;Elétrica;Corretiva;;;FECH
OS91056;Pomadas;P-02;Envasadora P-02;Corretiva banco;03/12/2021 16:48;03/12/2021 18:21;1,55;23/12/2021 01:04;23/12/2021 02:24;1,33;Elétrica;Corretiva;;SS48830;FECH
OS91057;Pomadas;P-01;Seladora de pacotes P-01;Corretiva banco;30/07/2021 12:00;30/07/2021 17:00;5;30/07/2021 12:00;30/07/2021 17:00;5;Mecânica;Corretiva;;SS48831;FECH
OS91058;Pomadas;P-02;Esteira P-02;Corretiva banco;09/04/2021 02:24;09/04/2021 06:01;3,62;06/05/2021 17:15;06/05/2021 21:36;4,35;Elétrica;Corretiva;;SS48832;FECH
OS91059;Utilidades;Subsestação;Trafo 750 KVA;Corretiva banco;14/05/2021 14:24;14/05/2021 15:28;1,07;08/05/2021 11:09;08/05/2021 12:00;0,85;Automação;Corretiva;;SS48833;FECH
OS91060;Pomadas;P-02;Seladora P-02;Corretiva banco;13/08/2021 07:12;13/08/2021 11:51;4,65;13/08/2021 07:12;13/08/2021 11:51;4,65;Mecânica;Corretiva;;SS48834;FECH
OS91063;Pomadas;P-01;Envasadora P-01;Corretiva banco;07/07/2021 02:24;07/07/2021 07:19;4,92;07/07/2021 02:24;07/07/2021 07:19;4,92;Automação;Corretiva;;;FECH
OS91064;Xarope;X-01;Paletrizadora X-01;Corretiva banco;14/08/2021 04:48;14/08/2021 09:24;4,6;15/08/2021 12:40;15/08/2021 16:48;4,13;Automação;Corretiva;;SS48838;FECH
OS91065;Xarope;X-01;Envasadora X-01;Corretiva banco;16/06/2021 04:48;16/06/2021 05:47;0,98;16/06/2021 04:48;16/06/2021 05:47;0,98;Elétrica;Corretiva;;SS48839;FECH
OS91066;Xarope;X-02;Esteira X-02;Corretiva banco;20/03/2021 16:48;20/03/2021 20:18;3,5;16/04/2021 10:10;16/04/2021 14:24;4,23;Mecânica;Corretiva;;SS48840;FECH
OS91067;Pomadas;P-01;Seladora P-01;Corretiva banco;07/01/2021 07:12;07/01/2021 08:51;1,65;28/01/2021 18:01;28/01/2021 19:12;1,18;Mecânica;Corretiva;;SS48841;FECH
OS91068;Pomadas;P-01;Encartuchadeira P-01;Corretiva banco;20/02/2021 09:36;20/02/2021 14:32;4,93;03/03/2021 16:10;03/03/2021 21:36;5,43;Elétrica;Corretiva;;SS48842;FECH
OS91069;Utilidades;Subsestação;Trafo 750 KVA;Corretiva banco;27/10/2021 04:48;27/10/2021 07:53;3,08;29/10/2021 09:23;29/10/2021 12:00;2,62;Mecânica;Corretiva;;SS48843;FECH
OS91070;Pomadas;P-01;Seladora P-01;Corretiva banco;16/03/2021 12:00;16/03/2021 16:27;4,45;03/04/2021 00:48;03/04/2021 04:48;4;Automação;Corretiva;;SS48844;FECH
OS91071;Utilidades;Sala de Caldeiras;Caldeira 01;Corretiva banco;22/05/2021 04:48;22/05/2021 08:35;3,78;31/05/2021 15:24;31/05/2021 19:12;3,8;Mecânica;Corretiva;;SS48845;FECH
OS91072;Utilidades;Compressores;Compressor  - GA 55;Corretiva banco;08/09/2021 02:24;08/09/2021 06:27;4,05;08/09/2021 02:24;08/09/2021 06:27;4,05;Mecânica;Corretiva;;SS48846;FECH
OS91073;Xarope;X-01;Encartuchadeira X-01;Corretiva banco;06/02/2021 02:24;06/02/2021 04:33;2,15;23/02/2021 09:50;23/02/2021 12:00;2,17;Mecânica;Corretiva;;SS48847;FECH
OS91074;Pomadas;P-01;Encartuchadeira P-01;Corretiva banco;30/03/2021 07:12;30/03/2021 10:19;3,12;28/04/2021 01:55;28/04/2021 04:48;2,88;Automação;Corretiva;;SS48848;FECH
OS91075;Xarope;X-02;Esteira X-02;Corretiva banco;03/01/2021 14:24;03/01/2021 17:44;3,33;17/01/2021 22:35;18/01/2021 02:24;3,82;Mecânica;Corretiva;;SS48849;FECH
OS91076;Pomadas;P-01;Seladora P-01;Corretiva banco;05/11/2021 16:48;05/11/2021 19:37;2,82;05/11/2021 16:48;05/11/2021 19:37;2,82;Mecânica;Corretiva;;SS48850;FECH
OS91077;Pomadas;P-02;Esteira P-02;Corretiva banco;28/09/2021 21:36;28/09/2021 23:57;2,35;28/09/2021 21:36;28/09/2021 23:57;2,35;Elétrica;Corretiva;;SS48851;FECH
OS91078;Pomadas;P-02;Esteira P-02;Corretiva banco;05/07/2021 04:48;05/07/2021 06:43;1,92;18/07/2021 12:28;18/07/2021 14:24;1,93;Mecânica;Corretiva;;SS48852;FECH
OS91079;Pomadas;P-02;Seladora de pacotes P-02;Corretiva banco;31/01/2021 07:12;31/01/2021 10:16;3,07;03/03/2021 10:50;03/03/2021 14:24;3,57;Mecânica;Corretiva;;SS48853;FECH
OS91080;Xarope;X-02;Envasadora X-02;Corretiva banco;06/08/2021 16:48;06/08/2021 19:09;2,35;06/08/2021 16:48;06/08/2021 19:09;2,35;Mecânica;Corretiva;;SS48854;FECH
OS91081;Pomadas;P-01;Seladora P-01;Corretiva banco;30/12/2021 02:24;30/12/2021 07:26;5,03;30/12/2021 02:24;30/12/2021 07:26;5,03;Elétrica;Corretiva;;SS48855;FECH
OS91082;Xarope;X-01;Seladora X-01;Corretiva banco;22/10/2021 02:24;22/10/2021 04:32;2,13;22/10/2021 02:24;22/10/2021 04:32;2,13;Mecânica;Corretiva;;SS48856;FECH
OS91083;Pomadas;Fabricação Pomadas;Mixer 2 Pomadas;Corretiva banco;06/08/2021 14:24;06/08/2021 17:38;3,23;06/08/2021 14:24;06/08/2021 17:38;3,23;Automação;Corretiva;;SS48857;FECH
OS91084;Utilidades;Sala de Caldeiras;Caldeira 01;Corretiva banco;14/09/2021 02:24;14/09/2021 05:03;2,65;23/09/2021 20:36;24/09/2021 00:00;3,4;Elétrica;Corretiva;;SS48858;FECH
OS91088;Xarope;X-02;Seladora de pacotes X-02;Corretiva banco;28/08/2021 12:00;28/08/2021 15:25;3,42;28/08/2021 12:00;28/08/2021 15:25;3,42;Elétrica;Corretiva;;SS48862;FECH
OS91089;Xarope;X-01;Encartuchadeira X-01;Corretiva banco;07/02/2021 02:24;07/02/2021 04:10;1,77;12/02/2021 02:24;12/02/2021 04:10;1,77;Mecânica;Corretiva;;SS48863;FECH
OS91091;Pomadas;P-01;Encartuchadeira P-01;Corretiva banco;20/06/2021 12:00;20/06/2021 13:12;1,2;23/06/2021 22:04;24/06/2021 00:00;1,93;Mecânica;Corretiva;;;FECH
OS91093;Pomadas;P-02;Envasadora P-02;Corretiva banco;10/11/2021 02:24;10/11/2021 03:53;1,48;12/11/2021 02:49;12/11/2021 04:48;1,98;Mecânica;Corretiva;;;FECH
OS91094;Xarope;X-02;Esteira X-02;Corretiva banco;15/05/2021 02:24;15/05/2021 06:34;4,17;16/05/2021 15:30;16/05/2021 19:12;3,7;Mecânica;Corretiva;;;FECH
OS91095;Xarope;Fabricação Xarope;Mixer 2 Xarope;Corretiva banco;03/07/2021 07:12;03/07/2021 10:37;3,42;04/07/2021 10:43;04/07/2021 14:24;3,68;Elétrica;Corretiva;;;FECH
OS91096;Pomadas;P-02;Seladora P-02;Corretiva banco;10/01/2021 07:12;10/01/2021 10:37;3,42;02/02/2021 10:29;02/02/2021 14:24;3,92;Elétrica;Corretiva;;;FECH
OS91097;Pomadas;P-02;Seladora P-02;Corretiva banco;07/01/2021 04:48;07/01/2021 06:44;1,93;15/01/2021 14:51;15/01/2021 16:48;1,95;Automação;Corretiva;;;FECH
OS91098;Xarope;Fabricação Xarope;Mixer 2 Xarope;Corretiva banco;20/10/2021 12:00;20/10/2021 14:00;2;25/10/2021 14:47;25/10/2021 16:48;2,02;Elétrica;Corretiva;;;FECH
OS91099;Pomadas;Fabricação Pomadas;Mixer 1 Pomadas;Corretiva banco;17/06/2021 16:48;17/06/2021 17:57;1,15;27/06/2021 18:17;27/06/2021 19:12;0,92;Elétrica;Corretiva;;;FECH
OS91101;Xarope;X-02;Seladora de pacotes X-02;Corretiva banco;26/12/2021 07:12;26/12/2021 09:17;2,08;29/12/2021 07:30;29/12/2021 09:36;2,1;Elétrica;Corretiva;;;FECH
OS91102;Pomadas;P-01;Seladora P-01;Corretiva banco;11/12/2021 16:48;11/12/2021 18:50;2,03;11/12/2021 16:48;11/12/2021 18:50;2,03;Mecânica;Corretiva;;;FECH
OS91103;Pomadas;P-02;Encartuchadeira P-02;Corretiva banco;13/11/2021 04:48;13/11/2021 09:11;4,38;24/11/2021 21:31;25/11/2021 02:24;4,88;Mecânica;Corretiva;;;FECH
OS91105;Pomadas;P-02;Paletrizadora P-02;Corretiva banco;14/10/2021 09:36;14/10/2021 14:31;4,92;14/10/2021 09:36;14/10/2021 14:31;4,92;Mecânica;Corretiva;;;CONC
OS91106;Pomadas;P-01;Seladora de pacotes P-01;Corretiva banco;09/12/2021 02:24;09/12/2021 03:30;1,1;09/12/2021 02:24;09/12/2021 03:30;1,1;Elétrica;Corretiva;;;FECH
OS91107;Xarope;X-01;Encartuchadeira X-01;Corretiva banco;01/11/2021 02:24;01/11/2021 05:06;2,7;02/11/2021 13:36;02/11/2021 16:48;3,2;Automação;Corretiva;;SS48881;FECH
OS91108;Xarope;X-02;Esteira X-02;Corretiva banco;23/08/2021 04:48;23/08/2021 06:00;1,2;23/08/2021 04:48;23/08/2021 06:00;1,2;Elétrica;Corretiva;;SS48882;FECH
OS91109;Pomadas;P-01;Envasadora P-01;Corretiva banco;18/07/2021 04:48;18/07/2021 06:59;2,18;18/07/2021 04:48;18/07/2021 06:59;2,18;Mecânica;Corretiva;;SS48883;FECH
OS91110;Pomadas;P-02;Envasadora P-02;Corretiva banco;26/09/2021 07:12;26/09/2021 11:39;4,45;26/09/2021 07:12;26/09/2021 11:39;4,45;Mecânica;Corretiva;;SS48884;FECH
OS91111;Pomadas;P-02;Seladora P-02;Corretiva banco;30/12/2021 02:24;30/12/2021 05:34;3,17;03/12/2021 00:00;03/12/2021 12:00;12;Mecânica;Corretiva;;SS48885;FECH
OS91112;Xarope;X-02;Paletrizadora X-02;Corretiva banco;08/09/2021 04:48;08/09/2021 08:00;3,2;08/09/2021 04:48;08/09/2021 08:00;3,2;Elétrica;Corretiva;;SS48886;FECH
OS91113;Pomadas;P-02;Seladora de pacotes P-02;Corretiva banco;13/06/2021 07:12;13/06/2021 09:31;2,32;13/06/2021 07:12;13/06/2021 09:31;2,32;Mecânica;Corretiva;;SS48887;FECH
OS91114;Xarope;Fabricação Xarope;Mixer 1 Xarope;Corretiva banco;28/01/2021 04:48;28/01/2021 06:17;1,48;02/02/2021 04:48;02/02/2021 06:17;1,48;Mecânica;Corretiva;;SS48888;FECH
OS91116;Xarope;Fabricação Xarope;Mixer 1 Xarope;Corretiva banco;10/05/2021 02:24;10/05/2021 07:22;4,97;20/05/2021 09:11;20/05/2021 14:24;5,22;Automação;Corretiva;;SS48890;FECH
OS91117;Xarope;X-01;Seladora de pacotes X-01;Corretiva banco;08/03/2021 02:24;08/03/2021 04:20;1,93;27/03/2021 03:20;27/03/2021 04:48;1,47;Elétrica;Corretiva;;SS48891;FECH
OS91118;Pomadas;P-01;Encartuchadeira P-01;Corretiva banco;25/11/2021 14:24;25/11/2021 16:07;1,72;25/11/2021 14:24;25/11/2021 16:07;1,72;Mecânica;Corretiva;;SS48892;FECH
OS91119;Pomadas;P-01;Seladora de pacotes P-01;Corretiva banco;17/06/2021 09:36;17/06/2021 11:21;1,75;27/06/2021 12:24;27/06/2021 14:24;2;Mecânica;Corretiva;;SS48893;FECH
OS91120;Utilidades;Compressores;Compressor  - GA 160;Corretiva banco;10/06/2021 07:12;10/06/2021 09:59;2,78;10/06/2021 07:12;10/06/2021 09:59;2,78;Elétrica;Corretiva;;;FECH
OS91121;Pomadas;P-01;Encartuchadeira P-01;Corretiva banco;15/06/2021 19:12;15/06/2021 23:31;4,32;15/06/2021 19:12;15/06/2021 23:31;4,32;Automação;Corretiva;;SS48895;FECH
OS91122;Pomadas;P-02;Seladora de pacotes P-02;Corretiva banco;10/01/2021 09:36;10/01/2021 12:59;3,38;26/01/2021 08:22;26/01/2021 12:00;3,63;Mecânica;Corretiva;;;FECH
OS91123;Pomadas;P-02;Encartuchadeira P-02;Corretiva banco;25/12/2021 21:36;26/12/2021 00:11;2,58;25/12/2021 21:36;26/12/2021 00:11;2,58;Elétrica;Corretiva;;;FECH
OS91124;Utilidades;Subsestação;Trafo 1000 KVA;Corretiva banco;28/06/2021 04:48;28/06/2021 06:04;1,27;28/06/2021 04:48;28/06/2021 06:04;1,27;Automação;Corretiva;;SS48898;FECH
OS91125;Xarope;X-01;Envasadora X-01;Corretiva banco;13/02/2021 09:36;13/02/2021 13:26;3,83;09/03/2021 00:14;09/03/2021 04:48;4,57;Elétrica;Corretiva;;SS48899;FECH
OS91126;Xarope;X-01;Seladora de pacotes X-01;Corretiva banco;26/11/2021 09:36;26/11/2021 13:29;3,88;26/11/2021 09:36;26/11/2021 13:29;3,88;Automação;Corretiva;;SS48900;FECH
OS91129;Xarope;X-01;Seladora de pacotes X-01;Corretiva banco;08/09/2021 16:48;08/09/2021 18:20;1,53;12/09/2021 06:08;12/09/2021 07:12;1,07;Mecânica;Corretiva;;;FECH
OS91130;Utilidades;Sala de Caldeiras;Caldeira 01;Corretiva banco;01/10/2021 21:36;01/10/2021 23:34;1,97;01/10/2021 21:36;01/10/2021 23:34;1,97;Mecânica;Corretiva;;;CONC
OS91132;Xarope;X-01;Envasadora X-01;Corretiva banco;27/11/2021 14:24;27/11/2021 19:03;4,65;27/11/2021 14:24;27/11/2021 19:03;4,65;Mecânica;Corretiva;;SS48906;FECH
OS91133;Utilidades;Compressores;Compressor  - GA 160;Corretiva banco;07/05/2021 19:12;07/05/2021 20:26;1,23;29/05/2021 00:40;29/05/2021 02:24;1,73;Mecânica;Corretiva;;SS48907;FECH
OS91134;Xarope;X-01;Seladora de pacotes X-01;Corretiva banco;15/10/2021 12:00;15/10/2021 14:58;2,97;15/10/2021 12:00;15/10/2021 14:58;2,97;Mecânica;Corretiva;;SS48908;FECH
OS91135;Pomadas;P-02;Encartuchadeira P-02;Corretiva banco;11/03/2021 16:48;11/03/2021 20:41;3,88;20/03/2021 17:42;20/03/2021 21:36;3,9;Mecânica;Corretiva;;SS48909;FECH
OS91136;Xarope;X-01;Encartuchadeira X-01;Corretiva banco;29/10/2021 02:24;29/10/2021 03:24;1;29/10/2021 02:24;29/10/2021 03:24;1;Mecânica;Corretiva;;SS48910;FECH
OS91137;Pomadas;P-02;Seladora P-02;Corretiva banco;04/04/2021 21:36;04/04/2021 22:49;1,22;26/04/2021 12:41;26/04/2021 14:24;1,72;Automação;Corretiva;;;FECH
OS91138;Utilidades;Compressores;Compressor  - GA 55;Corretiva banco;25/06/2021 16:48;25/06/2021 18:05;1,28;27/06/2021 22:42;28/06/2021 00:00;1,3;Mecânica;Corretiva;;SS48912;FECH
OS91139;Xarope;X-02;Esteira X-02;Corretiva banco;26/10/2021 21:36;27/10/2021 01:04;3,47;26/10/2021 21:36;27/10/2021 01:04;3,47;Automação;Corretiva;;SS48913;FECH
OS91141;Utilidades;Compressores;Compressor  - GA 55;Corretiva banco;25/11/2021 12:00;25/11/2021 13:13;1,22;30/11/2021 20:36;30/11/2021 21:36;1;Mecânica;Corretiva;;SS48915;FECH
OS91142;Xarope;Fabricação Xarope;Mixer 2 Xarope;Corretiva banco;01/10/2021 12:00;01/10/2021 13:17;1,28;02/10/2021 17:25;02/10/2021 19:12;1,78;Mecânica;Corretiva;;SS48916;FECH
OS91143;Pomadas;P-01;Encartuchadeira P-01;Corretiva banco;24/11/2021 19:12;24/11/2021 23:29;4,28;24/11/2021 19:12;24/11/2021 23:29;4,28;Mecânica;Corretiva;;SS48917;FECH
OS91144;Xarope;X-02;Encartuchadeira X-02;Corretiva banco;19/10/2021 02:24;19/10/2021 05:12;2,8;19/10/2021 02:24;19/10/2021 05:12;2,8;Elétrica;Corretiva;;SS48918;FECH
