OS;Localizacao;Descricao;InicioProg;TerminoProg;TempoPrevisto;InicioReal;TerminoReal;TempoParada;Oficina;Tipo;MP;SS;Status
OS91718;REM01-2000-2100-X000004;Corretiva banco;18/08/2021 12:00;18/08/2021 13:55;1,92;18/08/2021 12:00;18/08/2021 13:55;1,92;Mecânica;Corretiva;;SS49492;FECH
OS91719;REM01-1000-1100-E000005;Corretiva banco;11/09/2021 21:36;12/09/2021 00:15;2,65;11/09/2021 21:36;12/09/2021 00:15;2,65;Mecânica;Corretiva;;SS49493;FECH
OS91720;REM01-1000-1200-E000003;Corretiva banco;12/10/2021 07:12;12/10/2021 09:27;2,25;28/10/2021 12:37;28/10/2021 14:24;1,78;Mecânica;Corretiva;;SS49494;FECH
OS91721;REM01-1000-1200-E000001;Corretiva banco;20/09/2021 14:24;20/09/2021 15:46;1,37;20/09/2021 14:24;20/09/2021 15:46;1,37;Elétrica;Corretiva;;SS49495;FECH
OS91722;REM01-2000-2100-X000004;Corretiva banco;18/03/2021 04:48;18/03/2021 07:40;2,87;20/03/2021 18:28;20/03/2021 21:36;3,13;Mecânica;Corretiva;;SS49496;FECH
OS91724;REM01-3000-3200-T000001;Corretiva banco;03/02/2021 07:12;03/02/2021 09:28;2,27;03/03/2021 16:40;03/03/2021 19:12;2,53;Mecânica;Corretiva;;SS49498;FECH
OS91725;REM01-3000-3300-C000001;Corretiva banco;04/08/2021 16:48;04/08/2021 21:36;4,8;04/08/2021 16:48;04/08/2021 21:36;4,8;Elétrica;Corretiva;;SS49499;FECH
OS91726;REM01-1000-1100-E000001;Corretiva banco;19/03/2021 19:12;19/03/2021 23:19;4,12;03/04/2021 19:12;03/04/2021 23:19;4,12;Elétrica;Corretiva;;SS49500;FECH
OS91727;REM01-2000-2200-X000003;Corretiva banco;18/08/2021 04:48;18/08/2021 08:05;3,28;18/08/2021 04:48;18/08/2021 08:05;3,28;Elétrica;Corretiva;;SS49501;FECH
OS91728;REM01-1000-1200-E000001;Corretiva banco;02/10/2021 12:00;02/10/2021 14:00;2;02/10/2021 12:00;02/10/2021 14:00;2;Elétrica;Corretiva;;SS49502;FECH
OS91729;REM01-1000-1100-E000006;Corretiva banco;20/01/2021 12:00;20/01/2021 14:41;2,68;25/01/2021 12:00;25/01/2021 14:41;2,68;Elétrica;Corretiva;;SS49503;FECH
OS91731;REM01-2000-2100-X000003;Corretiva banco;05/05/2021 09:36;05/05/2021 14:26;4,83;12/05/2021 02:06;12/05/2021 07:12;5,1;Automação;Corretiva;;SS49505;FECH
OS91732;REM01-1000-1200-F000001;Corretiva banco;16/05/2021 09:36;16/05/2021 10:49;1,22;13/05/2021 22:03;14/05/2021 00:00;1,95;Elétrica;Corretiva;;SS49506;FECH
OS91733;REM01-3000-3200-T000002;Corretiva banco;19/11/2021 21:36;19/11/2021 22:53;1,28;19/11/2021 21:36;19/11/2021 22:53;1,28;Mecânica;Corretiva;;SS49507;FECH
OS91734;REM01-1000-1200-F000002;Corretiva banco;17/01/2021 16:48;17/01/2021 18:23;1,58;01/02/2021 17:51;01/02/2021 19:12;1,35;Elétrica;Corretiva;;SS49508;FECH
OS91735;REM01-3000-3200-T000001;Corretiva banco;19/02/2021 12:00;19/02/2021 13:12;1,2;26/02/2021 22:48;27/02/2021 00:00;1,2;Mecânica;Corretiva;;SS49509;FECH
OS91736;REM01-1000-1200-E000003;Corretiva banco;13/05/2021 04:48;13/05/2021 06:44;1,93;22/05/2021 21:48;23/05/2021 00:00;2,2;Mecânica;Corretiva;;SS49510;FECH
OS91737;REM01-1000-1200-E000005;Corretiva banco;28/10/2021 21:36;29/10/2021 01:17;3,68;28/10/2021 21:36;29/10/2021 01:17;3,68;Elétrica;Corretiva;;SS49511;FECH
OS91738;REM01-2000-2100-X000003;Corretiva banco;13/03/2021 07:12;13/03/2021 09:31;2,32;10/04/2021 06:47;10/04/2021 09:36;2,82;Automação;Corretiva;;SS49512;FECH
OS91739;REM01-1000-1200-E000002;Corretiva banco;27/05/2021 16:48;27/05/2021 20:36;3,8;17/05/2021 19:56;18/05/2021 00:00;4,07;Mecânica;Corretiva;;SS49513;FECH
OS91741;REM01-1000-1100-E000004;Corretiva banco;16/05/2021 21:36;16/05/2021 23:26;1,83;22/05/2021 21:36;22/05/2021 23:26;1,83;Elétrica;Corretiva;;SS49515;FECH
OS91744;REM01-1000-1200-E000001;Corretiva banco;14/11/2021 14:24;14/11/2021 16:00;1,6;27/11/2021 07:59;27/11/2021 09:36;1,62;Mecânica;Corretiva;;SS49518;CONC
OS91745;REM01-1000-1200-E000002;Corretiva banco;08/03/2021 12:00;08/03/2021 13:19;1,32;13/03/2021 14:45;13/03/2021 16:48;2,05;Mecânica;Corretiva;;SS49519;FECH
OS91746;REM01-1000-1200-E000006;Corretiva banco;26/02/2021 19:12;26/02/2021 23:13;4,02;02/03/2021 13:00;02/03/2021 16:48;3,8;Mecânica;Corretiva;;SS49520;FECH
OS91747;REM01-2000-2100-X000001;Corretiva banco;16/07/2021 16:48;16/07/2021 18:14;1,43;16/07/2021 16:48;16/07/2021 18:14;1,43;Mecânica;Corretiva;;SS49521;FECH
OS91748;REM01-2000-2100-X000001;Corretiva banco;19/08/2021 14:24;19/08/2021 18:59;4,58;19/08/2021 14:24;19/08/2021 18:59;4,58;Elétrica;Corretiva;;SS49522;FECH
OS91752;REM01-1000-1200-E000004;Corretiva banco;11/04/2021 07:12;11/04/2021 10:40;3,47;11/04/2021 07:12;11/04/2021 10:40;3,47;Mecânica;Corretiva;;SS49526;FECH
OS91753;REM01-1000-1200-E000003;Corretiva banco;28/03/2021 19:12;28/03/2021 23:51;4,65;02/04/2021 05:11;02/04/2021 09:36;4,42;Mecânica;Corretiva;;SS49527;FECH
OS91754;REM01-2000-2200-X000001;Corretiva banco;05/09/2021 21:36;06/09/2021 00:18;2,7;16/09/2021 04:43;16/09/2021 07:12;2,48;Automação;Corretiva;;SS49528;FECH
OS91756;REM01-1000-1100-E000002;Corretiva banco;25/06/2021 16:48;25/06/2021 20:36;3,8;27/06/2021 07:42;27/06/2021 12:00;4,3;Elétrica;Corretiva;;;FECH
OS91757;REM01-3000-3200-T000001;Corretiva banco;28/04/2021 09:36;28/04/2021 13:59;4,38;28/04/2021 09:36;28/04/2021 13:59;4,38;Automação;Corretiva;;;FECH
OS91758;REM01-1000-1100-E000002;Corretiva banco;23/02/2021 02:24;23/02/2021 03:25;1,02;14/03/2021 18:38;14/03/2021 19:12;0,57;Automação;Corretiva;;;FECH
OS91760;REM01-1000-1100-E000003;Corretiva banco;17/09/2021 07:12;17/09/2021 11:22;4,17;17/09/2021 07:12;17/09/2021 11:22;4,17;Mecânica;Corretiva;;;FECH
OS91761;REM01-3000-3200-T000001;Corretiva banco;22/05/2021 16:48;22/05/2021 20:15;3,45;19/10/2021 16:48;19/10/2021 20:15;3,45;Elétrica;Corretiva;;;FECH
OS91762;REM01-1000-1200-F000001;Corretiva banco;03/02/2021 19:12;03/02/2021 20:31;1,32;28/02/2021 20:45;28/02/2021 21:36;0,85;Mecânica;Corretiva;;;FECH
OS91763;REM01-1000-1200-F000001;Corretiva banco;03/08/2021 02:24;03/08/2021 06:40;4,27;16/08/2021 14:26;16/08/2021 19:12;4,77;Mecânica;Corretiva;;;FECH
OS91764;REM01-1000-1100-E000001;Corretiva banco;08/02/2021 19:12;08/02/2021 23:21;4,15;07/03/2021 07:36;07/03/2021 12:00;4,4;Elétrica;Corretiva;;;FECH
OS91766;REM01-2000-2200-X000001;Corretiva banco;10/12/2021 07:12;10/12/2021 10:39;3,45;10/12/2021 07:12;10/12/2021 10:39;3,45;Elétrica;Corretiva;;;FECH
OS91767;REM01-1000-1100-E000003;Corretiva banco;17/07/2021 21:36;18/07/2021 01:07;3,52;17/07/2021 21:36;18/07/2021 01:07;3,52;Mecânica;Corretiva;;;FECH
OS91768;REM01-3000-3200-T000002;Corretiva banco;08/12/2021 02:24;08/12/2021 04:39;2,25;27/12/2021 17:25;27/12/2021 19:12;1,78;Mecânica;Corretiva;;;FECH
OS91769;REM01-1000-1200-E000006;Corretiva banco;27/03/2021 04:48;27/03/2021 08:51;4,05;24/04/2021 13:13;24/04/2021 16:48;3,58;Elétrica;Corretiva;;;FECH
OS91771;REM01-3000-3100-C000001;Corretiva banco;02/03/2021 21:36;02/03/2021 22:37;1,02;11/03/2021 00:38;11/03/2021 02:24;1,77;Mecânica;Corretiva;;;FECH
OS91772;REM01-1000-1200-E000001;Corretiva banco;21/12/2021 19:12;21/12/2021 23:18;4,1;21/12/2021 19:12;21/12/2021 23:18;4,1;Elétrica;Corretiva;;;FECH
OS91773;REM01-1000-1200-E000001;Corretiva banco;17/05/2021 07:12;17/05/2021 08:15;1,05;10/05/2021 17:39;10/05/2021 19:12;1,55;Mecânica;Corretiva;;;FECH
OS91774;REM01-1000-1200-F000002;Corretiva banco;16/03/2021 07:12;16/03/2021 11:58;4,77;19/04/2021 07:13;19/04/2021 12:00;4,78;Elétrica;Corretiva;;;FECH
OS91775;REM01-1000-1200-E000005;Corretiva banco;17/04/2021 12:00;17/04/2021 14:25;2,42;17/04/2021 12:00;17/04/2021 14:25;2,42;Mecânica;Corretiva;;SS49549;FECH
OS91776;REM01-1000-1200-E000001;Corretiva banco;05/09/2021 14:24;05/09/2021 18:05;3,68;05/09/2021 14:24;05/09/2021 18:05;3,68;Mecânica;Corretiva;;SS49550;FECH
OS91778;REM01-2000-2200-X000006;Corretiva banco;12/06/2021 09:36;12/06/2021 14:31;4,92;26/06/2021 23:38;27/06/2021 04:48;5,17;Mecânica;Corretiva;;SS49552;FECH
OS91780;REM01-2000-2200-X000003;Corretiva banco;14/09/2021 09:36;14/09/2021 11:21;1,75;14/09/2021 09:36;14/09/2021 11:21;1,75;Mecânica;Corretiva;;SS49554;FECH
OS91781;REM01-1000-1100-E000002;Corretiva banco;14/12/2021 12:00;14/12/2021 14:31;2,52;14/12/2021 12:00;14/12/2021 14:31;2,52;Automação;Corretiva;;SS49555;FECH
OS91782;REM01-1000-1100-E000005;Corretiva banco;14/06/2021 07:12;14/06/2021 09:11;1,98;14/06/2021 07:12;14/06/2021 09:11;1,98;Elétrica;Corretiva;;SS49556;FECH
OS91783;REM01-2000-2200-X000002;Corretiva banco;22/06/2021 14:24;22/06/2021 15:59;1,58;22/06/2021 14:24;22/06/2021 15:59;1,58;Elétrica;Corretiva;;SS49557;FECH
OS91784;REM01-1000-1200-E000005;Corretiva banco;26/07/2021 12:00;26/07/2021 13:30;1,5;26/07/2021 12:00;26/07/2021 13:30;1,5;Mecânica;Corretiva;;SS49558;FECH
OS91785;REM01-1000-1200-E000005;Corretiva banco;12/02/2021 04:48;12/02/2021 06:50;2,03;14/03/2021 11:52;14/03/2021 14:24;2,53;Elétrica;Corretiva;;SS49559;FECH
OS91786;REM01-3000-3200-T000002;Corretiva banco;19/06/2021 09:36;19/06/2021 14:36;5;19/06/2021 09:36;19/06/2021 14:36;5;Automação;Corretiva;;SS49560;FECH
OS91787;REM01-2000-2200-X000001;Corretiva banco;06/07/2021 04:48;06/07/2021 09:02;4,23;15/07/2021 14:13;15/07/2021 19:12;4,98;Mecânica;Corretiva;;SS49561;FECH
OS91788;REM01-2000-2200-X000005;Corretiva banco;30/06/2021 21:36;30/06/2021 23:39;2,05;30/06/2021 21:36;30/06/2021 23:39;2,05;Mecânica;Corretiva;;SS49562;FECH
OS91789;REM01-2000-2200-X000001;Corretiva banco;19/12/2021 12:00;19/12/2021 14:58;2,97;19/12/2021 12:00;19/12/2021 14:58;2,97;Automação;Corretiva;;SS49563;FECH
OS91792;REM01-2000-2100-X000004;Corretiva banco;25/02/2021 02:24;25/02/2021 07:14;4,83;10/03/2021 12:25;10/03/2021 16:48;4,38;Mecânica;Corretiva;;SS49566;FECH
OS91793;REM01-2000-2100-X000005;Corretiva banco;10/06/2021 19:12;10/06/2021 20:38;1,43;10/06/2021 19:12;10/06/2021 20:38;1,43;Mecânica;Corretiva;;SS49567;FECH
OS91795;REM01-1000-1100-E000004;Corretiva banco;17/11/2021 14:24;17/11/2021 17:22;2,97;17/11/2021 14:24;17/11/2021 17:22;2,97;Mecânica;Corretiva;;SS49569;CONC
OS91796;REM01-2000-2100-X000001;Corretiva banco;26/11/2021 09:36;26/11/2021 13:12;3,6;28/11/2021 10:33;28/11/2021 14:24;3,85;Mecânica;Corretiva;;SS49570;CONC
OS91797;REM01-1000-1100-E000003;Corretiva banco;14/07/2021 19:12;14/07/2021 20:45;1,55;14/07/2021 19:12;14/07/2021 20:45;1,55;Mecânica;Corretiva;;SS49571;FECH
OS91799;REM01-3000-3200-T000002;Corretiva banco;03/09/2021 09:36;03/09/2021 10:45;1,15;22/09/2021 04:07;22/09/2021 04:48;0,68;Elétrica;Corretiva;;SS49573;FECH
OS91800;REM01-2000-2200-X000004;Corretiva banco;16/06/2021 21:36;16/06/2021 23:26;1,83;23/06/2021 10:37;23/06/2021 12:00;1,38;Mecânica;Corretiva;;SS49574;FECH
OS91801;REM01-1000-1200-E000001;Corretiva banco;30/08/2021 14:24;30/08/2021 15:56;1,53;30/08/2021 14:24;30/08/2021 15:56;1,53;Automação;Corretiva;;SS49575;FECH
OS91802;REM01-2000-2200-X000002;Corretiva banco;26/06/2021 09:36;26/06/2021 14:18;4,7;26/06/2021 09:36;26/06/2021 14:18;4,7;Automação;Corretiva;;SS49576;FECH
OS91803;REM01-2000-2100-X000001;Corretiva banco;26/03/2021 12:00;26/03/2021 16:40;4,67;28/03/2021 00:07;28/03/2021 04:48;4,68;Elétrica;Corretiva;;SS49577;FECH
OS91804;REM01-2000-2200-X000004;Corretiva banco;16/06/2021 04:48;16/06/2021 08:55;4,12;18/06/2021 08:06;18/06/2021 12:00;3,9;Mecânica;Corretiva;;SS49578;FECH
OS91805;REM01-3000-3200-T000001;Corretiva banco;06/04/2021 19:12;06/04/2021 21:36;2,4;11/05/2021 09:07;11/05/2021 12:00;2,88;Elétrica;Corretiva;;SS49579;FECH
OS91806;REM01-2000-2100-X000002;Corretiva banco;17/01/2021 04:48;17/01/2021 09:11;4,38;12/02/2021 16:58;12/02/2021 21:36;4,63;Elétrica;Corretiva;;SS49580;FECH
OS91807;REM01-2000-2100-X000001;Corretiva banco;29/05/2021 21:36;30/05/2021 02:16;4,67;10/05/2021 19:04;11/05/2021 00:00;4,93;Mecânica;Corretiva;;SS49581;FECH
OS91808;REM01-1000-1200-E000002;Corretiva banco;29/07/2021 16:48;29/07/2021 19:49;3,02;30/07/2021 16:24;30/07/2021 19:12;2,8;Automação;Corretiva;;SS49582;FECH
OS91810;REM01-3000-3200-T000002;Corretiva banco;18/07/2021 07:12;18/07/2021 09:17;2,08;18/07/2021 07:12;18/07/2021 09:17;2,08;Elétrica;Corretiva;;SS49584;FECH
OS91811;REM01-1000-1200-E000001;Corretiva banco;11/12/2021 07:12;11/12/2021 09:01;1,82;20/12/2021 14:44;20/12/2021 16:48;2,07;Mecânica;Corretiva;;SS49585;FECH
OS91812;REM01-1000-2200-F000001;Corretiva banco;17/05/2021 07:12;17/05/2021 08:39;1,45;24/05/2021 00:41;24/05/2021 02:24;1,72;Mecânica;Corretiva;;SS49586;FECH
OS91814;REM01-2000-2200-X000001;Corretiva banco;16/11/2021 14:24;16/11/2021 17:03;2,65;16/11/2021 14:24;16/11/2021 17:03;2,65;Mecânica;Corretiva;;SS49588;FECH
OS91815;REM01-3000-3200-T000002;Corretiva banco;18/09/2021 21:36;19/09/2021 01:46;4,17;18/09/2021 21:36;19/09/2021 01:46;4,17;Automação;Corretiva;;SS49589;FECH
OS91817;REM01-3000-3200-T000002;Corretiva banco;01/04/2021 12:00;01/04/2021 13:09;1,15;01/04/2021 12:00;01/04/2021 13:09;1,15;Elétrica;Corretiva;;SS49591;FECH
OS91818;REM01-3000-3100-C000001;Corretiva banco;30/08/2021 19:12;30/08/2021 20:24;1,2;30/08/2021 19:12;30/08/2021 20:24;1,2;Automação;Corretiva;;SS49592;FECH
OS91819;REM01-1000-1200-E000003;Corretiva banco;20/09/2021 19:12;20/09/2021 20:21;1,15;20/09/2021 19:12;20/09/2021 20:21;1,15;Mecânica;Corretiva;;SS49593;FECH
OS91820;REM01-2000-2200-X000003;Corretiva banco;11/01/2021 09:36;11/01/2021 12:20;2,73;25/01/2021 18:08;25/01/2021 21:36;3,47;Mecânica;Corretiva;;SS49594;FECH
OS91821;REM01-2000-2100-X000006;Corretiva banco;07/09/2021 19:12;07/09/2021 20:55;1,72;25/09/2021 09:47;25/09/2021 12:00;2,22;Automação;Corretiva;;SS49595;FECH
OS91822;REM01-2000-2100-X000005;Corretiva banco;12/02/2021 02:24;12/02/2021 05:41;3,28;07/03/2021 05:49;07/03/2021 09:36;3,78;Elétrica;Corretiva;;SS49596;FECH
OS91823;REM01-1000-1200-E000005;Corretiva banco;18/12/2021 12:00;18/12/2021 15:51;3,85;21/12/2021 00:27;21/12/2021 04:48;4,35;Elétrica;Corretiva;;;FECH
OS91824;REM01-2000-2100-X000004;Corretiva banco;21/04/2021 21:36;22/04/2021 00:07;2,52;21/04/2021 21:36;22/04/2021 00:07;2,52;Mecânica;Corretiva;;;FECH
OS91827;REM01-3000-3300-C000001;Corretiva banco;30/06/2021 14:24;30/06/2021 16:48;2,4;30/06/2021 14:24;30/06/2021 16:48;2,4;Mecânica;Corretiva;;;FECH
OS91830;REM01-1000-2200-F000001;Corretiva banco;08/04/2021 04:48;08/04/2021 08:22;3,57;21/04/2021 07:56;21/04/2021 12:00;4,07;Mecânica;Corretiva;;;FECH
OS91831;REM01-1000-1200-E000002;Corretiva banco;03/01/2021 09:36;03/01/2021 13:36;4;24/01/2021 22:52;25/01/2021 02:24;3,53;Elétrica;Corretiva;;;FECH
OS91832;REM01-2000-2200-X000003;Corretiva banco;15/04/2021 07:12;15/04/2021 10:26;3,23;15/04/2021 07:12;15/04/2021 10:26;3,23;Elétrica;Corretiva;;;FECH
OS91833;REM01-1000-1200-F000002;Corretiva banco;06/09/2021 19:12;06/09/2021 23:51;4,65;26/09/2021 02:32;26/09/2021 07:12;4,67;Mecânica;Corretiva;;;FECH
OS91834;REM01-1000-1200-E000001;Corretiva banco;11/09/2021 19:12;11/09/2021 23:35;4,38;11/09/2021 19:12;11/09/2021 23:35;4,38;Mecânica;Corretiva;;;FECH
OS91835;REM01-1000-1100-E000006;Corretiva banco;03/04/2021 12:00;03/04/2021 14:51;2,85;03/04/2021 12:00;03/04/2021 14:51;2,85;Mecânica;Corretiva;;;FECH
OS91836;REM01-3000-3200-T000001;Corretiva banco;10/01/2021 14:24;10/01/2021 18:14;3,83;15/01/2021 14:24;15/01/2021 18:14;3,83;Elétrica;Corretiva;;;FECH
OS91837;REM01-2000-2100-X000004;Corretiva banco;24/08/2021 21:36;25/08/2021 01:16;3,67;24/08/2021 21:36;25/08/2021 01:16;3,67;Mecânica;Corretiva;;;FECH
OS91839;REM01-1000-2200-F000002;Corretiva banco;17/09/2021 19:12;17/09/2021 20:42;1,5;17/09/2021 19:12;17/09/2021 20:42;1,5;Elétrica;Corretiva;;;FECH
OS91841;REM01-2000-2100-X000002;Corretiva banco;09/04/2021 07:12;09/04/2021 09:02;1,83;09/04/2021 07:12;09/04/2021 09:02;1,83;Elétrica;Corretiva;;;FECH
OS91842;REM01-1000-1100-E000002;Corretiva banco;08/01/2021 21:36;08/01/2021 23:28;1,87;13/02/2021 02:41;13/02/2021 04:48;2,12;Mecânica;Corretiva;;;FECH
OS91843;REM01-1000-1100-E000003;Corretiva banco;19/07/2021 09:36;19/07/2021 13:49;4,22;19/07/2021 09:36;19/07/2021 13:49;4,22;Mecânica;Corretiva;;SS49617;FECH
OS91844;REM01-1000-1200-E000005;Corretiva banco;06/11/2021 04:48;06/11/2021 09:17;4,48;29/11/2021 19:30;30/11/2021 00:00;4,5;Elétrica;Corretiva;;SS49618;FECH
OS91846;REM01-1000-1200-E000001;Corretiva banco;01/06/2021 16:48;01/06/2021 18:59;2,18;24/06/2021 11:58;24/06/2021 14:24;2,43;Mecânica;Corretiva;;SS49620;FECH
OS91848;REM01-1000-1200-E000001;Corretiva banco;11/02/2021 12:00;11/02/2021 13:23;1,38;16/02/2021 12:00;16/02/2021 13:23;1,38;Automação;Corretiva;;SS49622;FECH
OS91849;REM01-1000-1200-E000003;Corretiva banco;09/04/2021 19:12;09/04/2021 21:11;1,98;14/05/2021 20:05;14/05/2021 21:36;1,52;Automação;Corretiva;;SS49623;FECH
OS91850;REM01-2000-2100-X000004;Corretiva banco;08/04/2021 04:48;08/04/2021 07:09;2,35;27/04/2021 04:07;27/04/2021 07:12;3,08;Elétrica;Corretiva;;SS49624;FECH
OS91851;REM01-1000-1200-E000002;Corretiva banco;14/10/2021 19:12;14/10/2021 23:05;3,88;24/10/2021 05:57;24/10/2021 09:36;3,65;Mecânica;Corretiva;;SS49625;FECH
OS91852;REM01-1000-1200-F000002;Corretiva banco;23/06/2021 14:24;23/06/2021 15:54;1,5;26/06/2021 19:36;26/06/2021 21:36;2;Elétrica;Corretiva;;SS49626;FECH
OS91853;REM01-2000-2100-X000003;Corretiva banco;01/02/2021 21:36;01/02/2021 23:13;1,62;21/02/2021 05:34;21/02/2021 07:12;1,63;Automação;Corretiva;;SS49627;FECH
OS91854;REM01-1000-1200-F000002;Corretiva banco;11/06/2021 19:12;11/06/2021 21:27;2,25;11/06/2021 19:12;11/06/2021 21:27;2,25;Elétrica;Corretiva;;SS49628;FECH
OS91855;REM01-1000-1200-E000005;Corretiva banco;11/06/2021 21:36;11/06/2021 23:51;2,25;11/06/2021 21:36;11/06/2021 23:51;2,25;Mecânica;Corretiva;;SS49629;FECH
OS91856;REM01-2000-2100-X000005;Corretiva banco;15/05/2021 04:48;15/05/2021 08:42;3,9;25/05/2021 20:05;26/05/2021 00:00;3,92;Mecânica;Corretiva;;SS49630;FECH
OS91857;REM01-1000-1200-E000001;Corretiva banco;18/01/2021 04:48;18/01/2021 06:20;1,53;07/02/2021 00:37;07/02/2021 02:24;1,78;Elétrica;Corretiva;;SS49631;FECH
OS91858;REM01-1000-1100-E000003;Corretiva banco;03/11/2021 07:12;03/11/2021 10:22;3,17;07/11/2021 23:42;08/11/2021 02:24;2,7;Mecânica;Corretiva;;SS49632;FECH
OS91859;REM01-1000-1200-E000003;Corretiva banco;16/06/2021 02:24;16/06/2021 03:51;1,45;16/06/2021 02:24;16/06/2021 03:51;1,45;Mecânica;Corretiva;;SS49633;FECH
OS91860;REM01-2000-2200-X000006;Corretiva banco;23/10/2021 14:24;23/10/2021 18:17;3,88;23/10/2021 14:24;23/10/2021 18:17;3,88;Automação;Corretiva;;SS49634;FECH
OS91861;REM01-2000-2100-X000004;Corretiva banco;20/06/2021 19:12;20/06/2021 23:52;4,67;20/06/2021 19:12;20/06/2021 23:52;4,67;Mecânica;Corretiva;;SS49635;FECH
OS91862;REM01-1000-1200-F000002;Corretiva banco;16/04/2021 02:24;16/04/2021 04:55;2,52;16/04/2021 02:24;16/04/2021 04:55;2,52;Mecânica;Corretiva;;SS49636;FECH
OS91863;REM01-1000-1100-E000001;Corretiva banco;03/06/2021 09:36;03/06/2021 13:23;3,78;09/06/2021 08:41;09/06/2021 12:00;3,32;Mecânica;Corretiva;;SS49637;FECH
OS91864;REM01-1000-1200-E000006;Corretiva banco;17/01/2021 09:36;17/01/2021 12:25;2,82;21/02/2021 04:36;21/02/2021 07:12;2,6;Mecânica;Corretiva;;SS49638;FECH
OS91865;REM01-2000-2100-X000002;Corretiva banco;22/03/2021 04:48;22/03/2021 07:50;3,03;11/04/2021 06:47;11/04/2021 09:36;2,82;Elétrica;Corretiva;;SS49639;FECH
OS91866;REM01-1000-1200-E000001;Corretiva banco;27/10/2021 07:12;27/10/2021 09:02;1,83;27/10/2021 07:12;27/10/2021 09:02;1,83;Elétrica;Corretiva;;;FECH
OS91867;REM01-1000-1100-E000004;Corretiva banco;19/07/2021 14:24;19/07/2021 18:46;4,37;17/10/2021 14:24;17/10/2021 18:46;4,37;Automação;Corretiva;;SS49641;FECH
OS91869;REM01-2000-2200-X000004;Corretiva banco;12/06/2021 14:24;12/06/2021 17:48;3,4;12/06/2021 14:24;12/06/2021 17:48;3,4;Automação;Corretiva;;SS49643;FECH
OS91871;REM01-3000-3300-C000001;Corretiva banco;10/05/2021 19:12;10/05/2021 20:19;1,12;24/05/2021 14:57;24/05/2021 16:48;1,85;Elétrica;Corretiva;;SS49645;FECH
OS91872;REM01-1000-1200-E000001;Corretiva banco;13/06/2021 09:36;13/06/2021 11:19;1,72;13/06/2021 09:36;13/06/2021 11:19;1,72;Mecânica;Corretiva;;;FECH
OS91873;REM01-1000-1100-E000003;Corretiva banco;08/05/2021 21:36;09/05/2021 01:36;4;14/05/2021 13:16;14/05/2021 16:48;3,53;Mecânica;Corretiva;;SS49647;FECH
OS91874;REM01-2000-2100-X000006;Corretiva banco;22/01/2021 12:00;22/01/2021 15:51;3,85;24/02/2021 17:29;24/02/2021 21:36;4,12;Mecânica;Corretiva;;SS49648;FECH
OS91875;REM01-1000-1100-E000003;Corretiva banco;19/06/2021 07:12;19/06/2021 10:33;3,35;19/06/2021 07:12;19/06/2021 10:33;3,35;Mecânica;Corretiva;;SS49649;FECH
OS91876;REM01-2000-2200-X000005;Corretiva banco;17/02/2021 19:12;17/02/2021 22:29;3,28;05/03/2021 03:54;05/03/2021 07:12;3,3;Mecânica;Corretiva;;SS49650;FECH
OS91877;REM01-2000-2100-X000002;Corretiva banco;30/04/2021 19:12;30/04/2021 21:14;2,03;27/10/2021 19:12;27/10/2021 21:14;2,03;Mecânica;Corretiva;;SS49651;FECH
OS91878;REM01-1000-2200-F000001;Corretiva banco;21/02/2021 04:48;21/02/2021 06:44;1,93;26/03/2021 21:20;27/03/2021 00:00;2,67;Mecânica;Corretiva;;SS49652;FECH
OS91879;REM01-3000-3100-C000002;Corretiva banco;01/02/2021 09:36;01/02/2021 13:23;3,78;13/02/2021 12:17;13/02/2021 16:48;4,52;Elétrica;Corretiva;;SS49653;FECH
OS91881;REM01-1000-1100-E000003;Corretiva banco;29/11/2021 14:24;29/11/2021 16:00;1,6;29/11/2021 14:24;29/11/2021 16:00;1,6;Automação;Corretiva;;;FECH
OS91882;REM01-3000-3300-C000001;Corretiva banco;04/04/2021 04:48;04/04/2021 07:01;2,22;04/04/2021 04:48;04/04/2021 07:01;2,22;Mecânica;Corretiva;;SS49656;FECH
OS91883;REM01-2000-2100-X000003;Corretiva banco;08/01/2021 09:36;08/01/2021 13:22;3,77;11/01/2021 08:42;11/01/2021 12:00;3,3;Mecânica;Corretiva;;SS49657;FECH
OS91885;REM01-1000-1200-E000001;Corretiva banco;29/06/2021 04:48;29/06/2021 06:44;1,93;29/06/2021 04:48;29/06/2021 06:44;1,93;Elétrica;Corretiva;;SS49659;FECH
OS91886;REM01-2000-2100-X000002;Corretiva banco;14/07/2021 07:12;14/07/2021 09:01;1,82;14/07/2021 07:12;14/07/2021 09:01;1,82;Mecânica;Corretiva;;SS49660;FECH
OS91888;REM01-2000-2100-X000006;Corretiva banco;06/07/2021 09:36;06/07/2021 10:37;1,02;13/07/2021 22:43;14/07/2021 00:00;1,28;Mecânica;Corretiva;;SS49662;FECH
OS91889;REM01-2000-2200-X000006;Corretiva banco;11/09/2021 19:12;11/09/2021 23:55;4,72;21/09/2021 07:30;21/09/2021 12:00;4,5;Automação;Corretiva;;SS49663;FECH
OS91890;REM01-2000-2100-X000001;Corretiva banco;27/10/2021 02:24;27/10/2021 06:59;4,58;27/10/2021 02:24;27/10/2021 06:59;4,58;Elétrica;Corretiva;;;FECH
